Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2023-02-28,57841,113137,68977,185256,127928,312074,310042,24247,26279
2023-03-07,65483,127434,71954,192945,130334,330382,329722,26060,26720
2023-03-14,57560,119065,63125,182991,116656,303676,298846,33070,37900
2023-03-21,58803,108452,69259,175971,123878,304033,301589,26589,29033
2023-03-28,62963,105140,61829,163837,118066,288629,285035,27312,30906
2023-04-04,72161,129247,63545,190494,134103,326200,326895,28808,28113
2023-04-11,76020,125386,70689,188606,139354,335315,335429,25538,25424
2023-04-18,79608,143369,76175,210030,144440,365813,363984,25841,27670
2023-04-25,72595,154445,71552,200747,117841,344894,343838,25269,26325
2023-05-02,82413,162392,65006,210440,129500,357859,356898,27945,28906
2023-05-09,88609,156456,72335,205526,134582,366470,363373,25303,28400
2023-05-16,89580,143962,85838,199135,143100,374553,372900,28470,30123
2023-05-23,83118,147745,74520,205839,137689,363477,359954,25292,28815
2023-05-30,80482,142952,77266,196627,131285,354375,351503,25332,28204
2023-06-06,86786,144596,85622,214119,154439,386527,384657,31099,32969
2023-06-13,96240,163661,91703,234408,166545,422351,421909,30818,31260
2023-06-20,101721,162777,87224,235290,174357,424235,424358,31096,30973
2023-06-27,87631,152352,76786,205335,138826,369752,367964,26372,28160
2023-07-03,94274,149198,82365,204071,146049,380710,377612,26095,29193
2023-07-11,93879,144612,86177,197282,145155,377338,375944,25734,27128
2023-07-18,109936,150225,97953,207566,163048,415455,411226,23481,27710
2023-07-25,98339,140481,91886,183709,137317,373934,369684,23761,28011
2023-08-01,102597,144763,87060,184074,139811,373731,371634,26351,28448
2023-08-08,95022,139426,86976,170481,121599,352479,348001,24125,28603
2023-08-15,102229,128214,103713,166941,135328,372883,367255,22357,27985
2023-08-22,93813,121534,81902,155074,123629,330789,327065,22887,26611
2023-08-29,101871,135657,87908,171044,132475,360823,356040,24021,28804
2023-09-05,101854,144580,89665,184112,139847,375631,374092,26430,27969
2023-09-12,104179,143521,94250,192419,152320,390848,390091,27224,27981
2023-09-19,109958,138774,103898,202095,167711,415951,410383,24108,29676
2023-09-26,86408,139243,92144,181651,123020,360203,354407,24727,30523
2023-10-03,94830,129023,83797,178112,137579,356739,350399,24423,30763
2023-10-10,83689,98371,90278,161295,139045,335262,327694,25707,33275
2023-10-17,84803,107748,86931,181894,150472,353628,345151,22455,30932
2023-10-24,88500,110094,67454,163682,137624,319636,315172,24682,29146
2023-10-31,95012,108991,71012,160163,141450,326187,321453,27346,32080
2023-11-07,87895,120944,74869,184877,149656,347641,345469,27136,29308
2023-11-14,94375,137303,89968,207847,161220,392190,388491,22934,26633
2023-11-21,92811,140242,81722,191051,143260,365584,365224,25773,26133
2023-11-28,90304,137840,83153,191025,142449,364482,363442,26270,27310
2023-12-05,92021,148798,84058,202889,145018,378968,377874,27743,28837
2023-12-12,97484,143800,95290,203215,157491,395989,396581,31240,30648
2023-12-19,104010,134182,94983,199395,164488,398388,393653,25784,30519
2023-12-26,60305,116456,76156,184091,123688,320552,316300,25250,29502
2024-01-02,71085,116077,71791,168466,118210,311342,306078,24618,29882
2024-01-09,69775,113944,87947,171526,120281,329248,322172,25924,33000
2024-01-16,70938,114698,90823,171136,122697,332897,328218,26368,31047
2024-01-23,66211,115404,87302,161495,107052,315008,309758,25305,30555
2024-01-30,70187,124727,89997,159581,102539,319765,317263,28032,30534
2024-02-06,78632,127619,88413,166792,113656,333837,329688,27895,32044
2024-02-13,76506,127472,92275,167381,112710,336162,332457,26308,30013
2024-02-20,74671,113742,88392,152747,109259,315810,311393,25470,29887
2024-02-27,74471,115175,97649,162356,119436,334476,332260,26855,29071
2024-03-05,71793,117748,102860,160257,111229,334910,331837,29588,32661
2024-03-12,70068,119174,106844,169379,118752,346291,344770,29419,30940
2024-03-19,67646,112436,102286,179887,131243,349819,345965,27545,31399
2024-03-26,76110,120012,104103,164632,120910,344845,345025,25756,25576
2024-04-02,67410,117741,104203,168474,114923,340087,336867,27253,30473
2024-04-09,78019,109341,106429,158142,120592,342590,336362,25657,31885
2024-04-16,95276,117750,103918,164265,138152,363459,359820,25933,29572
2024-04-23,89831,107831,100139,150091,126620,340061,334590,24178,29649
2024-04-30,91655,114088,102458,152812,124383,346925,340929,26276,32272
2024-05-07,98258,137137,103650,171486,129977,373394,370764,30089,32719
2024-05-14,96769,144830,128487,180775,132873,406031,406190,30036,29877
2024-05-21,100164,151556,135926,198426,147178,434516,434660,100547,100403
2024-05-21,100164,151556,135926,198426,147178,434516,434660,100547,100403
2024-05-28,82966,125710,126693,165143,123745,374802,376148,30267,28921
2024-06-04,95865,137140,127741,166555,124570,390161,389451,30228,30938
