Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-12-27,342482,96052,127468,373633,670388,843583,893908,100218,49893
2023-01-03,325685,97193,139330,381086,654583,846101,891106,93920,48915
2023-01-10,274296,86583,141691,399818,632327,815805,860601,90034,45238
2023-01-17,273666,86968,146426,387186,620330,807278,853724,91248,44802
2023-01-24,270150,85066,158664,404948,634287,833762,878017,91086,46831
2023-01-31,333718,86646,169519,389834,682282,893071,938447,102320,56944
2023-02-07,323990,88010,165782,416424,698741,906196,952533,95287,48950
2023-02-14,327871,89045,150439,401658,681037,879968,920521,89667,49114
2023-02-21,317876,84538,146792,366001,643743,830669,875073,95884,51480
2023-02-28,313678,89879,155810,352835,616828,822323,862517,90347,50153
2023-03-07,329833,89124,170223,331184,620772,831240,880119,97939,49060
2023-03-14,324347,93204,166480,342602,622034,833429,881718,99023,50734
2023-03-21,302634,91978,171694,353905,612427,828233,876099,101185,53319
2023-03-28,314608,91779,175133,357720,632877,847461,899789,106016,53688
2023-04-04,328123,81472,181361,388632,692651,898116,955484,107776,50408
2023-04-11,341373,81585,155768,386564,703872,883705,941225,108381,50861
2023-04-18,340696,71524,128904,385588,711786,855188,912214,105872,48846
2023-04-25,354581,75053,124206,379027,714667,857814,913926,101894,45782
2023-05-02,341209,73862,137099,365773,688165,844081,899126,95969,40924
2023-05-09,346478,69868,146351,368007,699363,860836,915582,95139,40393
2023-05-16,340486,69657,152199,379303,702686,871988,924542,91359,38805
2023-05-23,350244,76434,155209,386150,709473,891603,941116,92284,42771
2023-05-30,332464,82077,153648,386730,680462,872842,916187,89595,46250
2023-06-06,316809,82941,175504,436281,714676,928594,973121,92941,48414
2023-06-13,330679,79419,159102,420558,718946,910339,957467,91399,44271
2023-06-20,342320,81319,136612,395116,705878,874048,923809,93065,43304
2023-06-27,302773,82599,128662,384718,633086,816153,844347,74880,46686
2023-07-03,280634,81266,134450,374262,603975,789346,819691,74497,44152
2023-07-11,278769,82465,136879,385649,611679,801297,831023,76398,46672
2023-07-18,280498,84192,136365,386226,612455,803089,833012,77931,48008
2023-07-25,303615,83801,132192,397188,648585,832995,864578,78190,46607
2023-08-01,296713,85112,132655,407517,654046,836885,871813,82773,47845
2023-08-08,284974,85751,135755,414856,645625,835585,867131,76675,45129
2023-08-15,274489,83056,140420,429317,657810,844226,881286,85080,48020
2023-08-22,266200,80917,143943,454345,670571,864488,895431,79733,48790
2023-08-29,288327,79897,139785,424930,683831,853042,903513,91010,40539
2023-09-05,317572,82151,135493,415119,704924,868184,922568,98808,44424
2023-09-12,328566,84131,122559,446542,744267,897667,950957,98865,45575
2023-09-19,329115,84806,113370,414505,709119,856990,907295,99542,49237
2023-09-26,324664,85424,108289,381053,662107,814006,855820,89438,47624
2023-10-03,305051,87669,109393,320294,575423,734738,772485,85730,47983
2023-10-10,311308,89628,103255,319387,582430,733950,775313,87799,46436
2023-10-17,318662,90703,108981,321577,599276,749220,798960,93442,43702
2023-10-24,320884,96189,116090,328055,599751,765029,812030,92632,45631
2023-10-31,310643,97054,132348,336357,594944,779348,824346,86511,41513
2023-11-07,328025,95942,132324,325418,609358,785767,837624,93722,41865
2023-11-14,312037,85771,125322,331517,609042,768876,820135,91508,40249
2023-11-21,304939,82802,130799,347460,614860,783198,828461,88696,43433
2023-11-28,290604,85528,134208,361766,611371,786578,831107,89368,44839
2023-12-05,249241,83772,114765,413191,602012,777197,800549,76231,52879
2023-12-12,200473,93081,98894,408051,537682,707418,729657,74109,51870
2023-12-19,188054,95207,96441,414854,529819,699349,721467,75268,53150
2023-12-26,183582,105039,98772,435814,534838,718168,738649,74726,54245
2024-01-02,179642,104817,102408,469798,561985,751848,769210,74422,57060
2024-01-09,173488,104530,100712,463071,544664,737271,749906,73874,61239
2024-01-16,167220,107005,94718,463362,544930,725300,746653,75786,54433
2024-01-23,171000,103445,106001,469513,561029,746514,770475,72606,48645
2024-01-30,178443,104759,120005,478435,574435,776883,799199,74201,51885
2024-02-06,183705,103181,130594,491357,591639,805656,825414,75348,55590
2024-02-13,184125,91970,131853,493076,605214,809054,829037,75081,55098
2024-02-20,184174,92484,131952,461062,558755,777188,783191,71375,65372
2024-02-27,187869,84615,137056,431227,542179,756152,763850,66010,58312
2024-03-05,182546,100769,159038,439249,519810,780833,779617,61547,62763
2024-03-12,177558,92595,142998,429842,519310,750398,754903,69383,64878
2024-03-19,179189,87866,146503,439456,537329,765148,771698,69342,62792
2024-03-26,184549,84124,143978,434384,552390,762911,780492,76320,58739
2024-04-02,196650,79189,138872,433097,566127,768619,784188,76912,61343
2024-04-09,197840,92146,122779,439653,551855,760272,766780,73784,67276
2024-04-16,186059,123495,106172,448732,499011,740963,728678,70228,82513
